Urban,YearBuilt,TrafficLanes,ADT,YEAR_ADT,ApproachWidth_M,StructureLength_M,RoadwayWidth_M,DECK_WIDTH_M,YEAR_RECON,AADTPERCENT,DeckArea_SQM,Latitude,Longitude,PPTIN,TMAXC,TMINC,SeismicHazard,BridgeCond
0,1921,4,20590,2013,25.6,13.7,0,0,2003,16,350.72,32.24106,-97.16435,57.05,24.932,12.439,0.04287,U
0,1921,4,20590,2013,25.6,8.8,0,0,2003,16,225.28,32.24257,-97.1556,56.9674,24.9272,12.4527,0.04295,S
0,1994,5,16140,2016,27.4,15.2,0,0,2012,12,416.48,32.2246,-97.24355,57.7255,24.9444,12.3734,0.04215,S
1,1954,2,8440,2013,12.2,13.4,12.8,14,0,10,192.96,32.1859,-97.23039,57.6167,24.9186,12.3934,0.04175,U
1,2004,5,12320,2010,20.1,15.9,20.1,27,0,2,426.12,32.21389,-97.24541,57.5755,24.9397,12.3623,0.042,S
0,2003,2,540,2016,6.1,13.4,6.9,8,0,0,101.84,32.27016,-97.11157,55.5379,24.8935,12.5163,0.04359,U
1,1996,4,50,2016,14.6,11.6,14.6,24,0,0,283.04,32.32364,-97.21004,55.7052,24.894,12.4931,0.04366,U
0,1971,2,260,2013,9.4,9.1,0,0,0,31,85.54,32.36493,-98.06077,39.4285,24.9926,11.483,0.03961,S
0,1954,2,1080,2013,13.4,10.4,15.2,21,2007,14,221.52,32.564,-98.2419,36.7518,25.2011,11.64,0.04179,S
0,2010,2,1400,2010,9.8,7.9,9.8,19,0,14,151.68,32.44468,-98.07285,38.1897,24.7521,11.4457,0.04078,S
1,1950,2,3890,2010,7.6,20.4,14.7,17,0,0,350.88,32.47209,-98.06436,37.6508,24.8321,11.4739,0.04125,S
1,2000,2,7270,2013,12.5,15.9,0,0,0,15,198.75,32.4427,-97.36002,52.3954,24.8463,12.2161,0.04454,S
1,1976,6,116380,2013,35.4,7.9,0,0,0,10,279.66,32.34458,-97.19108,53.6114,24.8606,12.5364,0.04407,U
1,2016,12,140000,2015,21.3,6.7,0,0,0,11,142.71,32.50436,-97.1848,49.9626,24.7798,12.5514,0.04658,S
1,2013,9,134670,2010,63.7,7.3,0,0,0,6,465.01,32.55467,-97.02318,52.264,24.7988,12.6795,0.04843,S
1,2012,6,30150,2013,23.8,11,0,0,0,7,261.8,32.55295,-97.06336,50.5344,24.9128,12.8381,0.04816,S
1,2013,19,160780,2010,121,21,0,0,0,5,2541,32.5025,-97.09066,48.4452,24.8829,12.8238,0.0471,S
1,2014,4,5000,2014,24.4,10.1,0,0,0,1,246.44,32.35261,-97.25145,56.5957,24.9143,12.4487,0.04381,S
1,1939,2,3280,2015,9.8,7.3,13.3,14,1980,26,102.2,32.5901,-97.26468,50.2118,24.7376,12.6771,0.04765,U
1,1962,3,8270,2013,16.5,13.1,0,0,0,10,216.15,32.34003,-97.25449,57.5738,24.9368,12.4132,0.04362,S
1,1975,7,16000,2009,12.2,8.2,0,0,1995,3,100.04,32.42371,-97.09237,46.7221,24.7904,12.6645,0.04585,S
1,1958,7,155740,2009,12.2,11.3,0,0,1976,5,137.86,32.4527,-97.03473,49.286,24.5709,12.4553,0.04666,U
1,1972,3,100100,2013,17.1,7.9,0,0,0,8,135.09,32.40095,-97.14156,48.3138,24.7941,12.5688,0.04518,U
1,2003,2,930,2016,12.2,13.4,12.2,25,0,0,339.02,32.54384,-97.06574,50.2938,24.8947,12.814,0.04798,S
1,2000,4,1940,2009,14.6,9.8,14.6,23,0,0,227.36,32.39177,-97.08599,47.5978,24.8095,12.6756,0.04541,S
1,1985,4,10920,2009,18,13.7,18,23,0,1,309.62,32.4653,-97.06513,48.0622,24.7708,12.6752,0.04666,S
1,1984,4,14270,2009,14.6,12.2,14.6,37,1986,1,446.52,32.39339,-97.07178,47.9523,24.768,12.6312,0.04553,S
1,1980,4,30840,2009,14.6,14.9,14.6,37,0,0,555.77,32.41462,-97.06525,47.387,24.6978,12.5681,0.04589,U
1,1983,2,2950,2009,7.3,9.8,13,22,0,1,214.62,32.39122,-97.06243,48.3886,24.7408,12.5986,0.04556,S
1,1976,2,2640,2009,8.2,7.9,8.2,12,0,0,96.38,32.42195,-97.06535,47.3672,24.7014,12.5768,0.046,S
1,1972,2,980,2009,7.9,8.5,7.9,14,0,0,116.45,32.45583,-97.07065,47.5162,24.7792,12.685,0.04648,S
1,2003,2,50,2009,8.2,9.4,8.2,15,0,0,142.88,32.38078,-97.05582,49.034,24.7479,12.5974,0.04545,S
